Country,YearsProgram,DeveloperType,HaveWorkedLanguage,Salary
United Kingdom,NA,NA,NA,NA
New Zealand,NA,Embedded applications/devices developer,C; C++; Python,NA
United Kingdom,NA,NA,Python,NA
United States,NA,Web developer,C++; C#,NA
United States,NA,DevOps specialist,Go; Groovy; Java; Python; Ruby; SQL,NA
Germany,NA,Embedded applications/devices developer,C++; Python; SQL; Swift,NA
Hungary,NA,Web developer,Assembly; Groovy; Java; JavaScript; Python; Smalltalk,NA
United States,NA,Web developer,Java; JavaScript; Python; SQL,NA
India,NA,Web developer; Mobile developer,C#; Java; JavaScript; Objective-C,NA
France,NA,Data scientist,C#; Ruby; SQL; VBA,NA
Ukraine,NA,Mobile developer; Desktop applications developer,NA,NA
Russian Federation,NA,Web developer,NA,NA
United Kingdom,NA,Web developer,NA,NA
I prefer not to say,NA,NA,C; C++; JavaScript; PHP,NA
I prefer not to say,NA,NA,NA,NA
United States,NA,Desktop applications developer,C++,NA
India,NA,Web developer; Mobile developer,NA,NA
Italy,NA,NA,JavaScript; SQL,NA
Philippines,NA,NA,NA,NA
India,NA,Web developer; Mobile developer,NA,NA
Canada,NA,NA,NA,NA
United States,NA,Web developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; Database administrator; DevOps specialist,NA,NA
India,NA,Web developer,NA,NA
India,NA,Web developer; Mobile developer,Java,NA
United States,NA,NA,Python,NA
United States,NA,Data scientist; Systems administrator,PHP; SQL,NA
United States,NA,NA,JavaScript; VB.NET; Visual Basic 6,NA
India,NA,Web developer; Developer with a statistics or mathematics background,Java; JavaScript; SQL; TypeScript,NA
United Kingdom,NA,Web developer; Desktop applications developer,NA,NA
India,NA,NA,Python; R,NA
Saudi Arabia,NA,NA,NA,NA
Canada,NA,Web developer,C#; JavaScript; SQL,49242.4242424242
United Kingdom,1 to 2 years,Web developer,Java; JavaScript; SQL; TypeScript,31250
Sweden,1 to 2 years,NA,C; C++; JavaScript; Matlab; Python; SQL,NA
Australia,1 to 2 years,NA,C; Haskell; Java; JavaScript; Python; R; SQL,NA
India,1 to 2 years,NA,C; C++; Java; JavaScript; PHP; Python,NA
United States,1 to 2 years,NA,Go; Haskell; JavaScript; PHP; Python; SQL,NA
United States,1 to 2 years,NA,C; Objective-C; Python,NA
Germany,1 to 2 years,NA,Groovy; Java; JavaScript,NA
India,1 to 2 years,NA,C; C++; Java,NA
Turkey,1 to 2 years,NA,R; SQL,NA
Philippines,1 to 2 years,NA,Java; JavaScript; SQL,NA
India,1 to 2 years,Mobile developer,Objective-C; Swift,NA
Switzerland,1 to 2 years,NA,Matlab; Python,NA
United States,1 to 2 years,NA,JavaScript; Python,NA
United Kingdom,1 to 2 years,NA,C; C++; C#; Java; Lua; Python,NA
United States,1 to 2 years,NA,Java; Python; SQL; Swift,NA
Canada,1 to 2 years,Web developer,Go; JavaScript; Ruby,49242.4242424242
Italy,1 to 2 years,Other,Java,NA
Kenya,1 to 2 years,NA,JavaScript,NA
Brazil,1 to 2 years,NA,NA,NA
Finland,1 to 2 years,NA,C; C#; CoffeeScript; Java; JavaScript; Objective-C; PHP; Python; SQL,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,C++; Java,NA
Moldavia,1 to 2 years,NA,Python,NA
United States,1 to 2 years,NA,C++; Java; JavaScript; Matlab; PHP; SQL; Swift,NA
India,1 to 2 years,NA,Assembly; C; Java,NA
United States,1 to 2 years,Web developer,JavaScript; Ruby,68e3
El Salvador,1 to 2 years,Web developer,JavaScript; PHP; Ruby; SQL,NA
