Country,YearsProgram,DeveloperType,HaveWorkedLanguage,Salary
United States,5 to 6 years,Web developer,C; C++; C#; JavaScript; Python; SQL; VB.NET; Visual Basic 6,NA
India,7 to 8 years,DevOps specialist,Ruby; SQL,NA
United States,16 to 17 years,Machine learning specialist; Other,Java; JavaScript,NA
Germany,19 to 20 years,Embedded applications/devices developer,C; C++,NA
United States,4 to 5 years,Web developer; DevOps specialist; Other,C++; Go; Java; JavaScript; Matlab; PHP; Python; Rust; SQL; VB.NET,75e3
United States,20 or more years,NA,Java; JavaScript,NA
Czech Republic,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Developer with a statistics or mathematics background; Quality assurance engineer,C++; Java,NA
Romania,14 to 15 years,Mobile developer,CoffeeScript; Groovy; Java; JavaScript; Ruby; SQL,NA
United States,20 or more years,Web developer; Mobile developer,JavaScript; Scala; Swift,NA
United Kingdom,7 to 8 years,Web developer,JavaScript; PHP; SQL,NA
United Kingdom,20 or more years,Web developer; Desktop applications developer,C; C++; C#; Java; Lua; Objective-C; Perl; PHP; Smalltalk; SQL; VB.NET; VBA; Visual Basic 6,46875
United Kingdom,2 to 3 years,Web developer,JavaScript; PHP; SQL,NA
United States,15 to 16 years,Web developer,C#; SQL,141e3
China,20 or more years,Embedded applications/devices developer,C,NA
United States,15 to 16 years,Mobile developer,Java; Objective-C; Swift,NA
Sweden,15 to 16 years,Web developer,Java; Scala,NA
United Kingdom,8 to 9 years,Embedded applications/devices developer,Assembly; C; Go; JavaScript; Python,4e4
New Zealand,20 or more years,NA,Objective-C; Swift,NA
United States,14 to 15 years,Web developer; Mobile developer,C++; CoffeeScript; Java; JavaScript; Python; SQL,NA
United States,9 to 10 years,Systems administrator; DevOps specialist,C#; Groovy; Java; JavaScript; Python,NA
India,5 to 6 years,Web developer; Embedded applications/devices developer; Graphic designer; Desktop applications developer,JavaScript; TypeScript,NA
United States,6 to 7 years,Web developer; Mobile developer; Desktop applications developer,Java; JavaScript; Python,NA
Norway,6 to 7 years,NA,Python,NA
Brazil,12 to 13 years,Web developer; Developer with a statistics or mathematics background,Java; JavaScript,NA
United States,2 to 3 years,Web developer,C; Java; JavaScript; Python; Ruby,NA
Guatemala,18 to 19 years,Web developer; Desktop applications developer; Database administrator; Systems administrator,C; C++; C#; Go; Java; JavaScript; Ruby; Scala,NA
Canada,4 to 5 years,Web developer,Assembly; C; C#; Dart; F#; JavaScript; PHP; SQL; VB.NET,NA
Serbia,8 to 9 years,Web developer,JavaScript; SQL,35483.8709677419
United States,20 or more years,Web developer; Data scientist; Other,C; Java; JavaScript; Python; SQL,NA
France,20 or more years,Web developer; DevOps specialist,JavaScript; PHP; SQL,NA
United States,20 or more years,Desktop applications developer,C#; SQL; VB.NET,NA
United States,8 to 9 years,Web developer,Java; JavaScript; Python; SQL,NA
Canada,7 to 8 years,Embedded applications/devices developer; Other,C; C++; Java; Python,50757.5757575758
Canada,16 to 17 years,Web developer; Developer with a statistics or mathematics background,CoffeeScript; JavaScript; Ruby; SQL,NA
United States,12 to 13 years,NA,Python; SQL,NA
United States,20 or more years,DevOps specialist,Python,14e4
United States,3 to 4 years,Desktop applications developer,C; C#; Common Lisp; Go; Haskell; Java; JavaScript; Matlab; SQL,NA
Armenia,5 to 6 years,Web developer,Java,33e3
Vietnam,6 to 7 years,Web developer; Mobile developer; Desktop applications developer,C#; Java; JavaScript; SQL; TypeScript,NA
Spain,20 or more years,Web developer; Mobile developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,C++; C#; CoffeeScript; Java; Matlab; SQL,NA
